date,state,orgs,category,type,species,age,count
2016,AL,64,gross intakes,relinquished by owner,cats,up to 5mo,2996
2016,AL,64,gross intakes,relinquished by owner,cats,unknown,3108
2016,AL,64,gross intakes,transfer in from agency,cats,adult,548
2016,AL,64,gross intakes,transfer in from agency,cats,up to 5mo,799
2016,AL,64,gross intakes,transfer in from agency,cats,unknown,711
2016,AL,64,gross intakes,other intakes,cats,adult,97
2016,AL,64,gross intakes,other intakes,cats,up to 5mo,187
2016,AL,64,gross intakes,other intakes,cats,unknown,50
2016,AL,64,gross intakes,owner-intended euthanasia,cats,adult,27
2016,AL,64,gross intakes,owner-intended euthanasia,cats,up to 5mo,7
2016,AL,64,gross intakes,owner-intended euthanasia,cats,unknown,13
2016,AL,64,gross live outcomes,adoption,dogs,adult,5583
2016,AL,64,gross live outcomes,adoption,dogs,up to 5mo,3173
2016,AL,64,gross live outcomes,adoption,dogs,unknown,4275
2016,AL,64,gross live outcomes,return to owner,dogs,adult,1763
2016,AL,64,gross live outcomes,return to owner,dogs,up to 5mo,104
2016,AL,64,gross live outcomes,return to owner,dogs,unknown,1235
2016,AL,64,gross live outcomes,transfer to another agency,dogs,adult,2867
2016,AL,64,gross live outcomes,transfer to another agency,dogs,up to 5mo,4742
2016,AL,64,gross live outcomes,transfer to another agency,dogs,unknown,2239
2016,AL,64,gross live outcomes,return to field,dogs,adult,0
2016,AL,64,gross live outcomes,return to field,dogs,up to 5mo,0
2016,AL,64,gross live outcomes,return to field,dogs,unknown,0
2016,AL,64,gross live outcomes,other live outcome,dogs,adult,154
2016,AL,64,gross live outcomes,other live outcome,dogs,up to 5mo,55
2016,AL,64,gross live outcomes,other live outcome,dogs,unknown,58
2016,AL,64,gross live outcomes,adoption,cats,adult,3080
2016,AL,64,gross live outcomes,adoption,cats,up to 5mo,3904
2016,AL,64,gross live outcomes,adoption,cats,unknown,2355
2016,AL,64,gross live outcomes,return to owner,cats,adult,124
2016,AL,64,gross live outcomes,return to owner,cats,up to 5mo,16
2016,AL,64,gross live outcomes,return to owner,cats,unknown,119
2016,AL,64,gross live outcomes,transfer to another agency,cats,adult,344
2016,AL,64,gross live outcomes,transfer to another agency,cats,up to 5mo,335
2016,AL,64,gross live outcomes,transfer to another agency,cats,unknown,154
